value_id,label,feature,unimorph,language_id
excl,exclusive,clusivity,EXCL,biate
incl,inclusive,clusivity,INCL,biate
pl,plural,number,PL,biate
sg,singular,number,SG,biate
1,first person,person,1,biate
2,second person,person,2,biate
3,third person,person,3,biate
aff,affirmative,polarity,POS,biate
neg,negative,polarity,NEG,biate
fut,future,tense_aspect,FUT,biate
nfut,non-future,tense_aspect,,biate
