form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
biate113,fe,3.pl.nfut.aff,an fe,an Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate114,mu,3.sg.1.sg.nfut.aff,a ne mu,a ne Σ,a+ne+Σ,a n e Σ,a + n e + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate115,mu,3.sg.1.pl.excl.nfut.aff,a ne mu,a ne Σ,a+ne+Σ,a n e Σ,a + n e + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate116,mu,3.sg.1.pl.incl.nfut.aff,a ne mu,a ne Σ,a+ne+Σ,a n e Σ,a + n e + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate117,mu,3.pl.1.sg.nfut.aff,an ne mu,an ne Σ,a+n+ne+Σ,a n n e Σ,a + n + n e + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate118,mu,3.pl.1.pl.excl.nfut.aff,an ne mu,an ne Σ,a+n+ne+Σ,a n n e Σ,a + n + n e + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate119,mu,3.pl.1.pl.incl.nfut.aff,an ne mu,an ne Σ,a+n+ne+Σ,a n n e Σ,a + n + n e + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate120,mu,3.sg.2.sg.nfut.aff,a mu,a Σ,a+Σ,a Σ,a + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate121,mu,3.sg.2.pl.nfut.aff,a mu,a Σ,a+Σ,a Σ,a + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate122,mu,3.pl.2.sg.nfut.aff,an mu,an Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate123,mu,3.pl.2.pl.nfut.aff,an mu,an Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate124,mu,3.sg.3.sg.nfut.aff,a mu,a Σ,a+Σ,a Σ,a + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate125,mu,3.sg.3.pl.nfut.aff,a mu,a Σ,a+Σ,a Σ,a + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate126,mu,3.pl.3.sg.nfut.aff,an mu,an Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate127,mu,3.pl.3.pl.nfut.aff,an mu,an Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate128,fe,1.sg.nfut.neg,fe maŋ,Σ maŋ,Σ+maŋ,Σ m a ŋ,Σ + m a ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate129,fe,1.pl.excl.nfut.neg,fe maŋ uŋ,Σ maŋ uŋ,Σ+maŋ+uŋ,Σ m a ŋ u ŋ,Σ + m a ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
