form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
biate051,fe,1.pl.excl.fut.neg,fe no niŋ uŋ,Σ no niŋ uŋ,Σ+no+niŋ+uŋ,Σ n o n i ŋ u ŋ,Σ + n o + n i ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate052,fe,1.pl.incl.fut.neg,fe no min,Σ no min,Σ+no+min,Σ n o m i n,Σ + n o + m i n,unspecified,Lalhminghlui2025Biate,nopage,biate
biate053,mu,1.sg.2.sg.fut.neg,mu no niŋ,Σ no niŋ,Σ+no+niŋ,Σ n o n i ŋ,Σ + n o + n i ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate054,mu,1.sg.2.pl.fut.neg,mu no niŋ,Σ no niŋ,Σ+no+niŋ,Σ n o n i ŋ,Σ + n o + n i ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate055,mu,1.sg.3.pl.fut.neg,mu no niŋ,Σ no niŋ,Σ+no+niŋ,Σ n o n i ŋ,Σ + n o + n i ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate056,mu,1.pl.excl.2.sg.fut.neg,mu no niŋ uŋ,Σ no niŋ uŋ,Σ+no+niŋ+uŋ,Σ n o n i ŋ u ŋ,Σ + n o + n i ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate057,mu,1.pl.excl.2.pl.fut.neg,mu no niŋ uŋ,Σ no niŋ uŋ,Σ+no+niŋ+uŋ,Σ n o n i ŋ u ŋ,Σ + n o + n i ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate058,mu,1.sg.3.sg.fut.neg,mu no niŋ,Σ no niŋ,Σ+no+niŋ,Σ n o n i ŋ,Σ + n o + n i ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate059,mu,1.pl.excl.3.sg.fut.neg,mu no niŋ uŋ,Σ no niŋ uŋ,Σ+no+niŋ+uŋ,Σ n o n i ŋ u ŋ,Σ + n o + n i ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate060,mu,1.pl.incl.3.sg.fut.neg,mu no min,Σ no min,Σ+no+min,Σ n o m i n,Σ + n o + m i n,unspecified,Lalhminghlui2025Biate,nopage,biate
biate061,mu,1.pl.excl.3.pl.fut.neg,mu no niŋ uŋ,Σ no niŋ uŋ,Σ+no+niŋ+uŋ,Σ n o n i ŋ u ŋ,Σ + n o + n i ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate062,mu,1.pl.incl.3.pl.fut.neg,mu no min,Σ no min,Σ+no+min,Σ n o m i n,Σ + n o + m i n,unspecified,Lalhminghlui2025Biate,nopage,biate
biate063,fe,2.sg.fut.neg,fe no tin,Σ no tin,Σ+no+tin,Σ n o t i n,Σ + n o + t i n,unspecified,Lalhminghlui2025Biate,nopage,biate
biate064,fe,2.pl.fut.neg,fe no tin u,Σ no tin u,Σ+no+tin+u,Σ n o t i n u,Σ + n o + t i n + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate065,mu,2.sg.1.sg.fut.neg,ne mu no tin,ne Σ no tin,ne+Σ+no+tin,n e Σ n o t i n,n e + Σ + n o + t i n,unspecified,Lalhminghlui2025Biate,nopage,biate
biate066,mu,2.sg.1.pl.excl.fut.neg,ne mu no tin,ne Σ no tin,ne+Σ+no+tin,n e Σ n o t i n,n e + Σ + n o + t i n,unspecified,Lalhminghlui2025Biate,nopage,biate
biate067,mu,2.pl.1.sg.fut.neg,ne mu no tin u,ne Σ no tin u,ne+Σ+no+tin+u,n e Σ n o t i n u,n e + Σ + n o + t i n + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate068,mu,2.pl.1.pl.excl.fut.neg,ne mu no tin u,ne Σ no tin u,ne+Σ+no+tin+u,n e Σ n o t i n u,n e + Σ + n o + t i n + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate069,mu,2.sg.3.sg.fut.neg,mu no tin,Σ no tin,Σ+no+tin,Σ n o t i n,Σ + n o + t i n,unspecified,Lalhminghlui2025Biate,nopage,biate
biate070,mu,2.sg.3.pl.fut.neg,mu no tin,Σ no tin,Σ+no+tin,Σ n o t i n,Σ + n o + t i n,unspecified,Lalhminghlui2025Biate,nopage,biate
biate071,mu,2.pl.3.sg.fut.neg,mu no tin u,Σ no tin u,Σ+no+tin+u,Σ n o t i n u,Σ + n o + t i n + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate072,mu,2.pl.3.pl.fut.neg,mu no tin u,Σ no tin u,Σ+no+tin+u,Σ n o t i n u,Σ + n o + t i n + u,unspecified,Lalhminghlui2025Biate,nopage,biate
biate073,fe,3.sg.fut.neg,fe no niʔ,Σ no niʔ,Σ+no+niʔ,Σ n o n i ʔ,Σ + n o + n i ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate074,fe,3.pl.fut.neg,fe no niʔ,Σ no niʔ,Σ+no+niʔ,Σ n o n i ʔ,Σ + n o + n i ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate075,mu,3.sg.1.sg.fut.neg,ne mu no niʔ,ne Σ no niʔ,ne+Σ+no+niʔ,n e Σ n o n i ʔ,n e + Σ + n o + n i ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate076,mu,3.sg.1.pl.excl.fut.neg,ne mu no niʔ,ne Σ no niʔ,ne+Σ+no+niʔ,n e Σ n o n i ʔ,n e + Σ + n o + n i ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate077,mu,3.sg.1.pl.incl.fut.neg,ne mu no niʔ,ne Σ no niʔ,ne+Σ+no+niʔ,n e Σ n o n i ʔ,n e + Σ + n o + n i ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate078,mu,3.pl.1.sg.fut.neg,ne mu no niʔ,ne Σ no niʔ,ne+Σ+no+niʔ,n e Σ n o n i ʔ,n e + Σ + n o + n i ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
